acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,334773101,5.1305.0565077,Bomba Hidráulica John Deere A-005 - Série 5000/5010/5020/600,N,3342.65,2924.82,1752.7,5.1305.0565077.0,02_SOHIPREN
alterar,334772644,5.1305.0565071,Bomba Hidráulica Direção e Levante John Deere A-004 - Série ,V,3477.61,3042.91,1827.5,5.1305.0565071.0,02_SOHIPREN
alterar,349112224,5.1305.0565094.0,BOMBA DE APLICACION JD A-008 (DQ33772) GIRO D (PROTOTIPO) - ,N,1499.29,1311.88,731.0,5.1305.0565094.0,02_SOHIPREN
alterar,334772399,5.1305.0565036,Bomba Hidráulica Principal John Deere A-003 - Série 6000 - P,V,1726.27,1510.48,856.8,5.1305.0565036.0,02_SOHIPREN
alterar,349112228,5.1305.0565032.0,BOMBA APLICACION JD A-001 (RE223233) GIRO I - 5.1305.0565032,N,2535.99,2218.99,1305.6,5.1305.0565032.0,02_SOHIPREN
alterar,349112232,5.1305.0565115.0,BOMBA APLICACION JD (AL200830) GIRO D - 5.1305.0565115.0,N,2609.61,2283.4,1346.4,5.1305.0565115.0,02_SOHIPREN
alterar,349112236,5.1302.0565086.0,BOMBA APLICACIÓN MF A-021 (ACX3124760) GIRO I - 5.1302.05650,N,2172.53,1900.97,1104.15,5.1302.0565086.0,02_SOHIPREN
alterar,349112240,5.1302.0565087.0,BOMBA APLICACIÓN MF A-022 (ACX3124770) GIRO I - 5.1302.05650,N,2172.53,1900.97,1104.15,5.1302.0565087.0,02_SOHIPREN
alterar,349112244,5.1302.0565088.0,BOMBA APLICACIÓN MF A-601 (ACX3125900) GIRO I - 5.1302.05650,N,2172.53,1900.97,1104.15,5.1302.0565088.0,02_SOHIPREN
alterar,349112248,5.1302.0565089.0,BOMBA APLICACIÓN MF A-024 (ACX3125910) GIRO I - 5.1302.05650,N,2172.53,1900.97,1104.15,5.1302.0565089.0,02_SOHIPREN
alterar,349112252,5.1302.L027041.0,BOMBA APLICACION MF-AX (ACW6839870) GIRO I - 5.1302.L027041.,N,2172.53,1900.97,1104.15,5.1302.L027041.0,02_SOHIPREN
alterar,334773059,5.0220.0547207,Bomba Hidráulica Massey Ferguson MF290/292 4x4 - Principal e,N,2220.08,1942.57,1130.5,5.0220.0547207.0,02_SOHIPREN
alterar,334773066,5.0220.0547216,Bomba Hidráulica Massey Ferguson 296-4/297-4/299-4 - Princip,N,2841.18,2486.03,1474.75,5.0220.0547216.0,02_SOHIPREN
alterar,334772840,5.1302.0547844,Bomba Hidráulica Massey Ferguson MF A-004 - 4215/4220/4235/4,V,2304.42,2016.37,1177.25,5.1302.0547844.0,02_SOHIPREN
alterar,334772822,5.1302.0547820,Bomba Hidráulica Massey Ferguson MF A-013 - Direção e Levant,V,2373.44,2076.76,1215.5,5.1302.0547820.0,02_SOHIPREN
alterar,334773042,5.0203.0540803,Bomba Hidráulica Massey Ferguson MF85X/185/275/285/290 - Dir,N,1637.32,1432.65,807.5,5.0203.0540803.0,02_SOHIPREN
alterar,349112256,5.0220.L025598.0,BOI 26 E2.B8.B110/16.B2.L - 5.0220.L025598.0,N,2396.44,2096.88,1228.25,5.0220.L025598.0,02_SOHIPREN
alterar,334772760,5.0220.0547206,Bomba Hidráulica Principal Valtra-Valmet 118ES/128/138/148 -,V,2220.08,1942.57,1130.5,5.0220.0547206.0,02_SOHIPREN
alterar,339174230,GR141207,GPS Agrícola GR200 - Greco Agro Tech | Navegação de Precisão,V,7570.45,6594.15,4100.0,GR141207,04_GRECO
alterar,339174256,GR141165,Kit de Iluminação Noturna Pulverização - Greco Agro Tech - P,V,1778.95,1500.84,890.0,GR141165,04_GRECO
alterar,339174287,GR140990-20M,Kit Ponta de Cerca - Greco Agro Tech - 20 Metros,V,1793.8,1830.32,1097.0,GR140990,04_GRECO
alterar,339174280,GR140990-30M,Kit Ponta de Cerca - Greco Agro Tech - 30 Metros,V,1793.8,1830.32,1097.0,GR140990,04_GRECO
alterar,339174300,GR140682,Sensor de Levante Haste - Greco Agro Tech | Precision Planti,V,1237.69,977.63,590.0,GR140682,04_GRECO
alterar,339174322,GR140012,Sensor de Levante Corrente - Greco Agro Tech | Precision Pla,V,1057.27,818.47,490.0,GR140012,04_GRECO
alterar,339174342,GR142398,Monitor de Fluxo de Sementes GR500 - Greco Agro Tech - Padrã,V,14065.6,12217.59,7700.0,GR142398,04_GRECO
alterar,339174367,GR142226,"Sensor de Fluxo 25,4mm - Greco Agro Tech | Precision Plantin",V,696.42,500.13,290.0,GR142226,04_GRECO
alterar,339174391,GR142227,Sensor de Fluxo 32mm - Greco Agro Tech | Precision Planting ,V,732.51,531.95,310.0,GR142227,04_GRECO
alterar,339174408,GR142228,"Sensor de Fluxo 50,8mm - Greco Agro Tech | Precision Plantin",V,822.72,611.53,360.0,GR142228,04_GRECO
alterar,339174425,GR142229,Sensor de Semente - Greco Agro Tech | Precision Planting PM4,V,425.79,261.35,140.0,GR142229,04_GRECO
alterar,339174463,ACX3266690,Suporte do Dosador - AGCO ACX3266690 | Plantadeira Momentum ,V,255.01,185.83,100.96,ACX3266690,03_AGCO
alterar,339174529,ACW0551840,Condutor de Sementes para Sensor - AGCO ACW0551840 - Padrão,V,23.11,17.93,9.15,ACW0551840,03_AGCO
alterar,355457350,ACW0551840-KIT25,CONDUTOR SEMENTES P/SENSOR — Kit 25 unidades,N,448.31,448.31,228.75,ACW0551840-KIT25,03_AGCO
alterar,355457358,ACX2865730-KIT60,TAMPA DO MODULO SRM — Kit 60 unidades,N,1115.99,1115.99,601.1999999999999,ACX2865730-KIT60,03_AGCO
alterar,339174469,ACX3454710,Conjunto Montado Reservatório de Sementes Mecânico AGCO ACX3,N,90.27,119.66,35.74,ACX3454710,03_AGCO
alterar,339174724,ACX2719210,Conjunto Montado Joelho - AGCO ACX2719210 - Padrão,V,29.07,23.57,13.81,ACX2719210,03_AGCO
alterar,339174815,4383927M4,Dobradiça Esquerda Inferior - Massey Ferguson 4383927M4 - Pa,V,50.54,34.87,20.01,4383927M4,03_AGCO
alterar,339174632,ACX283890A,Vedação Tubo de Ar - AGCO ACX283890A | Sistema Pneumático - ,V,50.88,35.08,20.14,ACX283890A,03_AGCO
alterar,339174659,ACX310603A,Manípulo Pneumático - AGCO ACX310603A - Padrão,V,11.45,7.92,4.53,ACX310603A,03_AGCO
alterar,339174837,4383923M4,Dobradiça Esquerda Superior - Massey Ferguson 4383923M4 - Pa,V,50.54,58.02,20.01,4383923M4,03_AGCO
alterar,339174608,ACX363311C,Copo Venturi C - AGCO ACX363311C | Dosador Pneumático - Padr,V,20.99,14.74,8.31,ACX363311C,03_AGCO
alterar,339174586,ACX363311B,Copo Venturi B - AGCO ACX363311B | Dosador Pneumático - Padr,V,20.99,14.74,8.31,ACX363311B,03_AGCO
alterar,339174680,ACX2414460,Conjunto Adaptador de Vácuo - AGCO ACX2414460 - Padrão,V,22.79,16.42,9.02,ACX2414460,03_AGCO
alterar,339174704,ACX3371800,Bocal Cotovelo de Vácuo - AGCO ACX3371800 - Padrão,V,14.58,11.13,5.77,ACX3371800,03_AGCO
alterar,355451845,ACX3371800-KIT50,BOCAL COTOVELO VACUO — Kit 50 unidades,N,556.22,556.22,288.5,ACX3371800-KIT50,03_AGCO
alterar,339174748,7038105M1,Acoplamento do Condutor - Massey Ferguson 7038105M1 - Padrão,V,9.95,7.06,3.94,7038105M1,03_AGCO
alterar,355451848,7038105M1-KIT60,ACOPLAMENTO DO CONDUTOR — Kit 60 unidades,N,423.86,423.86,236.4,7038105M1-KIT60,03_AGCO
alterar,339174765,7038106M1,Acoplamento da Curva - Massey Ferguson 7038106M1 - Padrão,V,9.95,7.06,3.94,7038106M1,03_AGCO
alterar,355451851,7038106M1-KIT60,ACOPLAMENTO DA CURVA — Kit 60 unidades,N,423.86,423.86,236.4,7038106M1-KIT60,03_AGCO
alterar,339174800,ACX5458940,Proteção SRM - AGCO ACX5458940 | Monitor de Linhas - Padrão,V,21.83,16.5,8.64,ACX5458940,03_AGCO
alterar,355451854,ACX5458940-KIT40,PROTEÇÃO SRM — Kit 40 unidades,N,659.9,659.9,345.6,ACX5458940-KIT40,03_AGCO
alterar,339174619,ACX3601860,Copo Venturi - AGCO ACX3601860 | Dosador Pneumático - Padrão,V,24.18,16.18,9.57,ACX3601860,03_AGCO
alterar,355451857,ACX3601860-KIT60,COPO VENTURI — Kit 60 unidades,N,971.19,971.19,574.2,ACX3601860-KIT60,03_AGCO
alterar,339174847,4383933M4,Dobradiça Direita Superior - Massey Ferguson 4383933M4 - Pad,V,50.54,34.87,20.01,4383933M4,03_AGCO
