aba,linha,sku,sku_shopify,tipo,kit_n,caixa,peso_kg,invoice,cotacoes,escolhida,frete_antigo,frete_novo,obs
06_STARA,17,6445-4041,6445-4041,unit,1,0.0x0.0x0.0,,0.84456,,,,25.0,sem peso/dims → default
06_STARA,18,7310-5946,7310-5946,unit,1,0.0x0.0x0.0,,8.91756,,,,25.0,sem peso/dims → default
06_STARA,19,7920-4426,7920-4426,unit,1,0.0x0.0x0.0,,1.387314,,,,25.0,sem peso/dims → default
06_STARA,20,1084-4162,1084-4162,unit,1,0.0x0.0x0.0,,10.4895,,,,25.0,sem peso/dims → default
06_STARA,21,6445-4040,6445-4040,unit,1,0.0x0.0x0.0,,0.29,,,,25.0,sem peso/dims → default
06_STARA,22,6445-4042,6445-4042,unit,1,0.0x0.0x0.0,,0.63,,,,25.0,sem peso/dims → default
06_STARA,23,6039-4130,6039-4130,unit,1,0.0x0.0x0.0,,2.02446,,,,25.0,sem peso/dims → default
06_STARA,24,6117-4142,6117-4142,rateio caixa 50,1,3.2x3.2x2.5,0.02,1.4904,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$17.89/50,,0.36,
06_STARA,25,6117-4142,6117-4142-KIT50,kit,50,18.0x18.0x7.0,1.0,74.52,Jadlog Jadlog Package: R$17.89 (8d) | Correios PAC: R$22.30 (7d) | Correios Sedex: R$40.43 (3d),Jadlog Jadlog Package,30.0,17.89,
06_STARA,26,6123-4506,6123-4506,unit,1,0.0x0.0x0.0,,1.37862,,,,25.0,sem peso/dims → default
