aba,linha,campo,antes,depois,motivo
02_SOHIPREN,100,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,101,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,102,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,103,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,104,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,105,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,106,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,107,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,108,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,109,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,110,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,111,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,112,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,113,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,114,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,115,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,116,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,117,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,118,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,119,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,120,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,121,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,122,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,123,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,124,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,125,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,126,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,127,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,128,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,129,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,130,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,131,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,132,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,133,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,134,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,135,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,136,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,137,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,138,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,139,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,140,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
