acao,aba,linha,sku_shopify,titulo_novo,custo,frete,marg,preco_novo,preco_site,delta_pct,body_site_len
update,03_AGCO,27,ACX2414460-KIT20,CJ Adaptador de Vacuo — Kit 20 Unidades — AGCO ACX2414460,180.39999999999998,27.58,0.2,328.33,328.33,0.0,964
update,03_AGCO,28,ACX3371800,Bocal Cotovelo de Vácuo — AGCO ACX3371800,5.77,1.28,0.2,11.13,11.13,0.0,814
update,03_AGCO,29,ACX3371800-KIT50,Bocal Cotovelo Vacuo — Kit 50 Unidades — AGCO ACX3371800,288.5,63.83,0.2,556.22,556.22,0.0,963
update,03_AGCO,30,7038105M1,Acoplamento do Condutor — Massey Ferguson 7038105M1,3.94,0.53,0.2,7.06,7.06,0.0,860
update,03_AGCO,31,7038105M1-KIT60,Acoplamento do Condutor — Kit 60 Unidades — AGCO 7038105M1,236.4,32.09,0.2,423.86,423.86,0.0,966
update,03_AGCO,32,7038106M1,Acoplamento da Curva — Massey Ferguson 7038106M1,3.94,0.53,0.2,7.06,7.06,0.0,857
update,03_AGCO,33,7038106M1-KIT60,Acoplamento da Curva — Kit 60 Unidades — AGCO 7038106M1,236.4,32.09,0.2,423.86,423.86,0.0,960
update,03_AGCO,34,ACX5458940,Proteção SRM — AGCO ACX5458940 | Monitor de Linhas,8.64,1.81,0.2,16.5,16.5,0.0,889
update,03_AGCO,35,ACX5458940-KIT40,Proteção SRM — Kit 40 Unidades — AGCO ACX5458940,345.6,72.41,0.2,659.9,659.9,0.0,946
update,03_AGCO,36,ACX3601860,Copo Venturi — AGCO ACX3601860 | Dosador Pneumático,9.57,0.68,0.2,16.18,16.18,0.0,936
update,03_AGCO,37,ACX3601860-KIT60,Copo Venturi — Kit 60 Unidades — AGCO ACX3601860,574.2,40.99,0.2,971.19,971.19,0.0,946
update,03_AGCO,38,4383933M4,Dobradiça Direita Superior — Massey Ferguson 4383933M4,20.01,2.08,0.2,34.87,34.87,0.0,807
update,03_AGCO,39,4383933M4-KIT10,Dobradiça Direita Superior — Kit 10 Unidades — AGCO 4383933M4,200.10000000000002,20.77,0.2,348.68,348.68,0.0,962
update,03_AGCO,40,4383934M4,Dobradiça Direita Inferior — Massey Ferguson 4383934M4,20.01,2.08,0.2,34.87,34.87,0.0,807
update,03_AGCO,41,4383934M4-KIT10,Dobradiça Direita Inferior — Kit 10 Unidades — AGCO 4383934M4,200.10000000000002,20.77,0.2,348.68,348.68,0.0,962
update,03_AGCO,42,ACX3473430,Tampa Maior do Tubo — AGCO ACX3473430,5.46,0.66,0.2,9.66,9.66,0.0,794
update,03_AGCO,43,ACX3473430-KIT40,Tampa Maior do Tubo — Kit 40 Unidades — AGCO ACX3473430,218.4,26.2,0.199999999999999,386.15,386.15,0.0,960
update,03_AGCO,44,ACX329796A,Defletor do Radiador — AGCO ACX329796A,85.45,37.07,0.199999999999999,193.42,193.42,0.0,875
update,03_AGCO,45,33070004,Condutor Reto de Sementes — AGCO 33070004,6.44,2.67,0.199999999999999,14.38,14.38,0.0,854
update,03_AGCO,46,33070004-KIT25,Condutor Reto — Kit 25 Unidades — AGCO 33070004,161.0,66.85,0.199999999999999,359.7,359.7,0.0,944
update,03_AGCO,47,6237989M1,Corpo Bico 1POL e Saídas — AGCO 6237989M1,26.46,2.5,0.199999999999999,45.72,45.72,0.0,897
update,03_AGCO,48,6237989M1-KIT10,Corpo Bico 1POL e Saídas — Kit 10 Unidades — AGCO 6237989M1,264.6,25.01,0.199999999999999,457.2,457.2,0.0,1028
update,03_AGCO,49,ACX363311C-KIT25,Copo Venturi C — Kit 25 Unidades — AGCO ACX363311C,207.75,27.8,0.199999999999999,371.86,371.86,0.0,950
update,03_AGCO,50,ACX363311B-KIT25,Copo Venturi B — Kit 25 Unidades — AGCO ACX363311B,207.75,27.8,0.199999999999999,371.86,371.86,0.0,950
update,03_AGCO,51,ACX3601860-KIT25,Copo Venturi — Kit 25 Unidades — AGCO ACX3601860,239.25,24.81,0.199999999999999,416.87,416.87,0.0,946
update,05_JOHN_DEERE,6,H-102724,DEDO RETRATIL JD QUADRADO — H-102724,5.0,0.53,0.3,9.98,9.98,0.0,802
update,05_JOHN_DEERE,7,H-102724-KIT50,Dedo Retratil Quadrado — Kit 50 Unidades — John Deere H-102724,250.0,26.47,0.3,498.81,498.81,0.0,2114
update,05_JOHN_DEERE,8,H-169914,DEDO RETRATIL JD — H-169914,5.0,0.56,0.3,10.03,10.03,0.0,793
update,05_JOHN_DEERE,9,H-169914-KIT50,Dedo Retratil — Kit 50 Unidades — John Deere H-169914,250.0,28.15,0.3,501.84,501.84,0.0,1910
update,05_JOHN_DEERE,10,H-175727,SUPORTE DO MOLINETE — H-175727,2.9,0.37,0.3,5.9,5.9,0.0,797
update,05_JOHN_DEERE,11,H-175727-KIT50,Suporte do Molinete — Kit 50 Unidades — John Deere H-175727,145.0,18.26,0.3,294.55,294.55,0.0,1869
